Date,Time,ts,ms,height_m,temp_C
2/22/22,5:53:33 PM,1645581213,0,0.8212,17.145
2/22/22,5:58:33 PM,1645581513,0,0.8241,18.158
2/22/22,6:03:33 PM,1645581813,0,0.8232,17.876
2/22/22,6:08:33 PM,1645582113,0,0.8234,17.462
2/22/22,6:13:33 PM,1645582413,0,0.8267,16.218
2/22/22,6:18:33 PM,1645582713,0,0.8269,14.761
2/22/22,6:23:33 PM,1645583013,0,0.8265,13.395
2/22/22,6:28:33 PM,1645583313,0,0.8269,12.282
2/22/22,6:33:33 PM,1645583613,0,0.8269,11.366
2/22/22,6:38:33 PM,1645583913,0,0.8273,10.478
2/22/22,6:43:33 PM,1645584213,0,0.813,12.306
2/22/22,6:48:33 PM,1645584513,0,1.5119,12.521
2/22/22,6:53:33 PM,1645584813,0,1.5184,13.613
2/22/22,6:58:33 PM,1645585113,0,1.5188,13.764
2/22/22,7:03:33 PM,1645585413,0,1.5186,13.842
2/22/22,7:08:33 PM,1645585713,0,1.5184,13.881
2/22/22,7:13:33 PM,1645586013,0,1.5172,13.902
2/22/22,7:18:33 PM,1645586313,0,1.5171,13.914
2/22/22,7:23:33 PM,1645586613,0,1.5164,13.926
2/22/22,7:28:33 PM,1645586913,0,1.5156,13.933
2/22/22,7:33:33 PM,1645587213,0,1.5135,13.939
2/22/22,7:38:33 PM,1645587513,0,1.5112,13.945
2/22/22,7:43:33 PM,1645587813,0,1.5088,13.95
2/22/22,7:48:33 PM,1645588113,0,1.5091,13.954
2/22/22,7:53:33 PM,1645588413,0,1.5092,13.957
2/22/22,7:58:33 PM,1645588713,0,1.5099,13.96
2/22/22,8:03:33 PM,1645589013,0,1.5102,13.963
2/22/22,8:08:33 PM,1645589313,0,1.51,13.966
2/22/22,8:13:33 PM,1645589613,0,1.5104,13.968
2/22/22,8:18:33 PM,1645589913,0,1.5108,13.97
2/22/22,8:23:33 PM,1645590213,0,1.5104,13.972
2/22/22,8:28:33 PM,1645590513,0,1.511,13.974
2/22/22,8:33:33 PM,1645590813,0,1.5118,13.976
2/22/22,8:38:33 PM,1645591113,0,1.5116,13.978
2/22/22,8:43:33 PM,1645591413,0,1.5111,13.98
2/22/22,8:48:33 PM,1645591713,0,1.5113,13.981
2/22/22,8:53:33 PM,1645592013,0,1.5107,13.983
2/22/22,8:58:33 PM,1645592313,0,1.5109,13.984
2/22/22,9:03:33 PM,1645592613,0,1.5112,13.985
2/22/22,9:08:33 PM,1645592913,0,1.5107,13.987
2/22/22,9:13:33 PM,1645593213,0,1.5108,13.988
2/22/22,9:18:33 PM,1645593513,0,1.5107,13.989
2/22/22,9:23:33 PM,1645593813,0,1.5101,13.991
2/22/22,9:28:33 PM,1645594113,0,1.5104,13.992
2/22/22,9:33:33 PM,1645594413,0,1.511,13.993
2/22/22,9:38:33 PM,1645594713,0,1.5106,13.993
2/22/22,9:43:33 PM,1645595013,0,1.5104,13.995
2/22/22,9:48:33 PM,1645595313,0,1.5094,13.996
2/22/22,9:53:33 PM,1645595613,0,1.5086,13.997
2/22/22,9:58:33 PM,1645595913,0,1.5081,13.997
2/22/22,10:03:33 PM,1645596213,0,1.5081,13.998
2/22/22,10:08:33 PM,1645596513,0,1.5079,13.999
2/22/22,10:13:33 PM,1645596813,0,1.5075,13.999
2/22/22,10:18:33 PM,1645597113,0,1.5063,13.999
2/22/22,10:23:33 PM,1645597413,0,1.5061,14
2/22/22,10:28:33 PM,1645597713,0,1.5053,14
2/22/22,10:33:33 PM,1645598013,0,1.5056,14
2/22/22,10:38:33 PM,1645598313,0,1.5047,14
2/22/22,10:43:33 PM,1645598613,0,1.5042,14
2/22/22,10:48:33 PM,1645598913,0,1.5038,14.001
2/22/22,10:53:33 PM,1645599213,0,1.5034,14.001
2/22/22,10:58:33 PM,1645599513,0,1.5026,14.001
2/22/22,11:03:33 PM,1645599813,0,1.5025,14.001
2/22/22,11:08:33 PM,1645600113,0,1.5031,14.001
2/22/22,11:13:33 PM,1645600413,0,1.5037,14.002
2/22/22,11:18:33 PM,1645600713,0,1.5038,14.003
2/22/22,11:23:33 PM,1645601013,0,1.5041,14.003
2/22/22,11:28:33 PM,1645601313,0,1.5036,14.004
2/22/22,11:33:33 PM,1645601613,0,1.504,14.005
2/22/22,11:38:33 PM,1645601913,0,1.5042,14.005
2/22/22,11:43:33 PM,1645602213,0,1.5042,14.006
2/22/22,11:48:33 PM,1645602513,0,1.505,14.007
2/22/22,11:53:33 PM,1645602813,0,1.5062,14.007
2/22/22,11:58:33 PM,1645603113,0,1.5076,14.008
2/23/22,12:03:33 AM,1645603413,0,1.5081,14.009
2/23/22,12:08:33 AM,1645603713,0,1.5085,14.01
2/23/22,12:13:33 AM,1645604013,0,1.509,14.011
2/23/22,12:18:33 AM,1645604313,0,1.5105,14.012
2/23/22,12:23:33 AM,1645604613,0,1.5108,14.012
2/23/22,12:28:33 AM,1645604913,0,1.5116,14.013
2/23/22,12:33:33 AM,1645605213,0,1.513,14.014
2/23/22,12:38:33 AM,1645605513,0,1.514,14.015
2/23/22,12:43:33 AM,1645605813,0,1.5153,14.016
2/23/22,12:48:33 AM,1645606113,0,1.5165,14.016
2/23/22,12:53:33 AM,1645606413,0,1.5179,14.017
2/23/22,12:58:33 AM,1645606713,0,1.5194,14.018
2/23/22,1:03:33 AM,1645607013,0,1.5207,14.019
2/23/22,1:08:33 AM,1645607313,0,1.5222,14.019
2/23/22,1:13:33 AM,1645607613,0,1.5244,14.02
2/23/22,1:18:33 AM,1645607913,0,1.5271,14.021
2/23/22,1:23:33 AM,1645608213,0,1.5297,14.022
2/23/22,1:28:33 AM,1645608513,0,1.5315,14.022
2/23/22,1:33:33 AM,1645608813,0,1.5335,14.022
2/23/22,1:38:33 AM,1645609113,0,1.536,14.023
2/23/22,1:43:33 AM,1645609413,0,1.5387,14.024
2/23/22,1:48:33 AM,1645609713,0,1.5404,14.024
2/23/22,1:53:33 AM,1645610013,0,1.5423,14.025
2/23/22,1:58:33 AM,1645610313,0,1.5451,14.025
2/23/22,2:03:33 AM,1645610613,0,1.5475,14.026
2/23/22,2:08:33 AM,1645610913,0,1.5497,14.026
2/23/22,2:13:33 AM,1645611213,0,1.5519,14.027
2/23/22,2:18:33 AM,1645611513,0,1.5539,14.027
2/23/22,2:23:33 AM,1645611813,0,1.5563,14.027
2/23/22,2:28:33 AM,1645612113,0,1.5585,14.028
2/23/22,2:33:33 AM,1645612413,0,1.5608,14.028
2/23/22,2:38:33 AM,1645612713,0,1.5634,14.029
2/23/22,2:43:33 AM,1645613013,0,1.5655,14.029
2/23/22,2:48:33 AM,1645613313,0,1.568,14.029
2/23/22,2:53:33 AM,1645613613,0,1.5703,14.029
2/23/22,2:58:33 AM,1645613913,0,1.5731,14.03
2/23/22,3:03:33 AM,1645614213,0,1.5755,14.03
2/23/22,3:08:33 AM,1645614513,0,1.5776,14.029
2/23/22,3:13:33 AM,1645614813,0,1.5794,14.03
2/23/22,3:18:33 AM,1645615113,0,1.5816,14.031
2/23/22,3:23:33 AM,1645615413,0,1.5843,14.03
2/23/22,3:28:33 AM,1645615713,0,1.5861,14.031
2/23/22,3:33:33 AM,1645616013,0,1.5884,14.032
2/23/22,3:38:33 AM,1645616313,0,1.591,14.031
2/23/22,3:43:33 AM,1645616613,0,1.594,14.031
2/23/22,3:48:33 AM,1645616913,0,1.5962,14.032
2/23/22,3:53:33 AM,1645617213,0,1.5981,14.032
2/23/22,3:58:33 AM,1645617513,0,1.601,14.032
2/23/22,4:03:33 AM,1645617813,0,1.6041,14.032
2/23/22,4:08:33 AM,1645618113,0,1.6068,14.031
2/23/22,4:13:33 AM,1645618413,0,1.6094,14.032
2/23/22,4:18:33 AM,1645618713,0,1.6124,14.032
2/23/22,4:23:33 AM,1645619013,0,1.6158,14.033
2/23/22,4:28:33 AM,1645619313,0,1.6188,14.033
2/23/22,4:33:33 AM,1645619613,0,1.622,14.033
2/23/22,4:38:33 AM,1645619913,0,1.6239,14.033
2/23/22,4:43:33 AM,1645620213,0,1.6267,14.033
2/23/22,4:48:33 AM,1645620513,0,1.6294,14.033
2/23/22,4:53:33 AM,1645620813,0,1.6322,14.033
2/23/22,4:58:33 AM,1645621113,0,1.6352,14.032
2/23/22,5:03:33 AM,1645621413,0,1.6314,14.033
2/23/22,5:08:33 AM,1645621713,0,1.638,14.033
2/23/22,5:13:33 AM,1645622013,0,1.6386,14.032
2/23/22,5:18:33 AM,1645622313,0,1.6439,14.032
2/23/22,5:23:33 AM,1645622613,0,1.6465,14.033
2/23/22,5:28:33 AM,1645622913,0,1.649,14.033
2/23/22,5:33:33 AM,1645623213,0,1.6513,14.033
2/23/22,5:38:33 AM,1645623513,0,1.6528,14.033
2/23/22,5:43:33 AM,1645623813,0,1.6542,14.033
2/23/22,5:48:33 AM,1645624113,0,1.6557,14.032
2/23/22,5:53:33 AM,1645624413,0,1.6575,14.032
2/23/22,5:58:33 AM,1645624713,0,1.66,14.032
2/23/22,6:03:33 AM,1645625013,0,1.6616,14.032
2/23/22,6:08:33 AM,1645625313,0,1.6634,14.032
2/23/22,6:13:33 AM,1645625613,0,1.6651,14.031
2/23/22,6:18:33 AM,1645625913,0,1.6667,14.031
2/23/22,6:23:33 AM,1645626213,0,1.6686,14.031
2/23/22,6:28:33 AM,1645626513,0,1.6703,14.031
2/23/22,6:33:33 AM,1645626813,0,1.6718,14.031
2/23/22,6:38:33 AM,1645627113,0,1.6727,14.03
2/23/22,6:43:33 AM,1645627413,0,1.6739,14.03
2/23/22,6:48:33 AM,1645627713,0,1.675,14.029
2/23/22,6:53:33 AM,1645628013,0,1.6769,14.029
2/23/22,6:58:33 AM,1645628313,0,1.6779,14.029
2/23/22,7:03:33 AM,1645628613,0,1.6789,14.027
2/23/22,7:08:33 AM,1645628913,0,1.6802,14.026
2/23/22,7:13:33 AM,1645629213,0,1.6813,14.025
2/23/22,7:18:33 AM,1645629513,0,1.6823,14.023
2/23/22,7:23:33 AM,1645629813,0,1.683,14.02
2/23/22,7:28:33 AM,1645630113,0,1.6841,14.018
