Date,Time,ts,ms,height_m,temp_C
2/22/22,5:57:56 PM,1645581476,0,0.8204,16.461
2/22/22,6:02:56 PM,1645581776,0,0.8195,18.719
2/22/22,6:07:56 PM,1645582076,0,0.8199,17.871
2/22/22,6:12:56 PM,1645582376,0,0.8226,17.12
2/22/22,6:17:56 PM,1645582676,0,0.8233,16.206
2/22/22,6:22:56 PM,1645582976,0,0.8233,15.255
2/22/22,6:27:56 PM,1645583276,0,0.8244,14.343
2/22/22,6:32:56 PM,1645583576,0,0.8247,13.472
2/22/22,6:37:56 PM,1645583876,0,0.8259,12.441
2/22/22,6:42:56 PM,1645584176,0,0.8257,11.351
2/22/22,6:47:56 PM,1645584476,0,0.8253,10.537
2/22/22,6:52:56 PM,1645584776,0,0.8241,9.831
2/22/22,6:57:56 PM,1645585076,0,3.8299,13.16
2/22/22,7:02:56 PM,1645585376,0,4.5212,13.621
2/22/22,7:07:56 PM,1645585676,0,4.5247,14.649
2/22/22,7:12:56 PM,1645585976,0,4.5248,14.754
2/22/22,7:17:56 PM,1645586276,0,4.5247,14.791
2/22/22,7:22:56 PM,1645586576,0,4.5243,14.809
2/22/22,7:27:56 PM,1645586876,0,4.5239,14.819
2/22/22,7:32:56 PM,1645587176,0,4.522,14.827
2/22/22,7:37:56 PM,1645587476,0,4.5206,14.833
2/22/22,7:42:56 PM,1645587776,0,4.5176,14.836
2/22/22,7:47:56 PM,1645588076,0,4.5182,14.839
2/22/22,7:52:56 PM,1645588376,0,4.5184,14.841
2/22/22,7:57:56 PM,1645588676,0,4.5194,14.843
2/22/22,8:02:56 PM,1645588976,0,4.5199,14.844
2/22/22,8:07:56 PM,1645589276,0,4.5201,14.846
2/22/22,8:12:56 PM,1645589576,0,4.5207,14.846
2/22/22,8:17:56 PM,1645589876,0,4.5209,14.846
2/22/22,8:22:56 PM,1645590176,0,4.5211,14.847
2/22/22,8:27:56 PM,1645590476,0,4.5219,14.847
2/22/22,8:32:56 PM,1645590776,0,4.5228,14.847
2/22/22,8:37:56 PM,1645591076,0,4.5227,14.847
2/22/22,8:42:56 PM,1645591376,0,4.5225,14.847
2/22/22,8:47:56 PM,1645591676,0,4.5228,14.848
2/22/22,8:52:56 PM,1645591976,0,4.5227,14.847
2/22/22,8:57:56 PM,1645592276,0,4.5232,14.847
2/22/22,9:02:56 PM,1645592576,0,4.5235,14.847
2/22/22,9:07:56 PM,1645592876,0,4.5239,14.846
2/22/22,9:12:56 PM,1645593176,0,4.5241,14.847
2/22/22,9:17:56 PM,1645593476,0,4.5239,14.846
2/22/22,9:22:56 PM,1645593776,0,4.5239,14.846
2/22/22,9:27:56 PM,1645594076,0,4.5244,14.845
2/22/22,9:32:56 PM,1645594376,0,4.5251,14.846
2/22/22,9:37:56 PM,1645594676,0,4.5253,14.844
2/22/22,9:42:56 PM,1645594976,0,4.5252,14.844
2/22/22,9:47:56 PM,1645595276,0,4.525,14.843
2/22/22,9:52:56 PM,1645595576,0,4.5244,14.843
2/22/22,9:57:56 PM,1645595876,0,4.5244,14.843
2/22/22,10:02:56 PM,1645596176,0,4.5243,14.842
2/22/22,10:07:56 PM,1645596476,0,4.5248,14.841
2/22/22,10:12:56 PM,1645596776,0,4.5245,14.841
2/22/22,10:17:56 PM,1645597076,0,4.5238,14.84
2/22/22,10:22:56 PM,1645597376,0,4.5234,14.84
2/22/22,10:27:56 PM,1645597676,0,4.5236,14.84
2/22/22,10:32:56 PM,1645597976,0,4.5241,14.839
2/22/22,10:37:56 PM,1645598276,0,4.5238,14.838
2/22/22,10:42:56 PM,1645598576,0,4.5236,14.838
2/22/22,10:47:56 PM,1645598876,0,4.5236,14.838
2/22/22,10:52:56 PM,1645599176,0,4.5235,14.838
2/22/22,10:57:56 PM,1645599476,0,4.5232,14.837
2/22/22,11:02:56 PM,1645599776,0,4.5237,14.836
2/22/22,11:07:56 PM,1645600076,0,4.5248,14.836
2/22/22,11:12:56 PM,1645600376,0,4.526,14.835
2/22/22,11:17:56 PM,1645600676,0,4.5266,14.836
2/22/22,11:22:56 PM,1645600976,0,4.527,14.835
2/22/22,11:27:56 PM,1645601276,0,4.527,14.835
2/22/22,11:32:56 PM,1645601576,0,4.5281,14.835
2/22/22,11:37:56 PM,1645601876,0,4.5284,14.833
2/22/22,11:42:56 PM,1645602176,0,4.5288,14.835
2/22/22,11:47:56 PM,1645602476,0,4.5298,14.834
2/22/22,11:52:56 PM,1645602776,0,4.5311,14.834
2/22/22,11:57:56 PM,1645603076,0,4.5321,14.834
2/23/22,12:02:56 AM,1645603376,0,4.5328,14.833
2/23/22,12:07:56 AM,1645603676,0,4.5332,14.833
2/23/22,12:12:56 AM,1645603976,0,4.5335,14.833
2/23/22,12:17:56 AM,1645604276,0,4.5347,14.834
2/23/22,12:22:56 AM,1645604576,0,4.5347,14.834
2/23/22,12:27:56 AM,1645604876,0,4.5349,14.833
2/23/22,12:32:56 AM,1645605176,0,4.5358,14.835
2/23/22,12:37:56 AM,1645605476,0,4.5361,14.834
2/23/22,12:42:56 AM,1645605776,0,4.5371,14.833
2/23/22,12:47:56 AM,1645606076,0,4.5378,14.835
2/23/22,12:52:56 AM,1645606376,0,4.5382,14.835
2/23/22,12:57:56 AM,1645606676,0,4.539,14.835
2/23/22,1:02:56 AM,1645606976,0,4.5395,14.837
2/23/22,1:07:56 AM,1645607276,0,4.5403,14.836
2/23/22,1:12:56 AM,1645607576,0,4.5415,14.836
2/23/22,1:17:56 AM,1645607876,0,4.543,14.837
2/23/22,1:22:56 AM,1645608176,0,4.5452,14.839
2/23/22,1:27:56 AM,1645608476,0,4.5466,14.84
2/23/22,1:32:56 AM,1645608776,0,4.5478,14.84
