Date,Time,ts,ms,height_m,temp_C
2/22/22,5:50:30 PM,1645581030,0,0.8262,14.866
2/22/22,5:55:30 PM,1645581330,0,0.8245,17.569
2/22/22,6:00:30 PM,1645581630,0,0.8229,16.984
2/22/22,6:05:30 PM,1645581930,0,0.8236,16.564
2/22/22,6:10:30 PM,1645582230,0,0.8247,15.995
2/22/22,6:15:30 PM,1645582530,0,0.8267,14.877
2/22/22,6:20:30 PM,1645582830,0,0.8287,13.316
2/22/22,6:25:30 PM,1645583130,0,0.8289,10.266
2/22/22,6:30:30 PM,1645583430,0,0.8283,8.989
2/22/22,6:35:30 PM,1645583730,0,0.8289,8.775
2/22/22,6:40:30 PM,1645584030,0,0.9776,10.297
2/22/22,6:45:30 PM,1645584330,0,0.9748,10.74
2/22/22,6:50:30 PM,1645584630,0,0.9717,10.872
2/22/22,6:55:30 PM,1645584930,0,0.9685,10.93
2/22/22,7:00:30 PM,1645585230,0,0.9655,10.963
2/22/22,7:05:30 PM,1645585530,0,0.9629,10.984
2/22/22,7:10:30 PM,1645585830,0,0.9597,10.999
2/22/22,7:15:30 PM,1645586130,0,0.9563,11.01
2/22/22,7:20:30 PM,1645586430,0,0.954,11.018
2/22/22,7:25:30 PM,1645586730,0,0.952,11.028
2/22/22,7:30:30 PM,1645587030,0,0.9495,11.034
2/22/22,7:35:30 PM,1645587330,0,0.9471,11.04
2/22/22,7:40:30 PM,1645587630,0,0.9429,11.044
2/22/22,7:45:30 PM,1645587930,0,0.9403,11.048
2/22/22,7:50:30 PM,1645588230,0,0.9398,11.051
2/22/22,7:55:30 PM,1645588530,0,0.9397,11.056
2/22/22,8:00:30 PM,1645588830,0,0.9389,11.059
2/22/22,8:05:30 PM,1645589130,0,0.938,11.06
2/22/22,8:10:30 PM,1645589430,0,0.9367,11.062
2/22/22,8:15:30 PM,1645589730,0,0.9357,11.065
2/22/22,8:20:30 PM,1645590030,0,0.9342,11.065
2/22/22,8:25:30 PM,1645590330,0,0.9331,11.066
2/22/22,8:30:30 PM,1645590630,0,0.9323,11.068
2/22/22,8:35:30 PM,1645590930,0,0.9313,11.068
2/22/22,8:40:30 PM,1645591230,0,0.9301,11.069
2/22/22,8:45:30 PM,1645591530,0,0.9285,11.068
2/22/22,8:50:30 PM,1645591830,0,0.9268,11.07
2/22/22,8:55:30 PM,1645592130,0,0.9264,11.07
2/22/22,9:00:30 PM,1645592430,0,0.9257,11.071
2/22/22,9:05:30 PM,1645592730,0,0.925,11.073
2/22/22,9:10:30 PM,1645593030,0,0.9245,11.072
2/22/22,9:15:30 PM,1645593330,0,0.9232,11.072
2/22/22,9:20:30 PM,1645593630,0,0.9222,11.072
2/22/22,9:25:30 PM,1645593930,0,0.9218,11.073
2/22/22,9:30:30 PM,1645594230,0,0.9214,11.072
2/22/22,9:35:30 PM,1645594530,0,0.9206,11.072
2/22/22,9:40:30 PM,1645594830,0,0.9199,11.073
2/22/22,9:45:30 PM,1645595130,0,0.9199,11.073
2/22/22,9:50:30 PM,1645595430,0,0.9192,11.073
2/22/22,9:55:30 PM,1645595730,0,0.9184,11.073
2/22/22,10:00:30 PM,1645596030,0,0.9179,11.073
2/22/22,10:05:30 PM,1645596330,0,0.9171,11.073
2/22/22,10:10:30 PM,1645596630,0,0.9184,11.072
2/22/22,10:15:30 PM,1645596930,0,0.9171,11.073
2/22/22,10:20:30 PM,1645597230,0,0.917,11.073
2/22/22,10:25:30 PM,1645597530,0,0.9171,11.073
2/22/22,10:30:30 PM,1645597830,0,0.9186,11.073
2/22/22,10:35:30 PM,1645598130,0,0.9213,11.073
2/22/22,10:40:30 PM,1645598430,0,0.9234,11.072
2/22/22,10:45:30 PM,1645598730,0,0.9251,11.073
2/22/22,10:50:30 PM,1645599030,0,0.9268,11.071
2/22/22,10:55:30 PM,1645599330,0,0.9297,11.072
2/22/22,11:00:30 PM,1645599630,0,0.934,11.072
2/22/22,11:05:30 PM,1645599930,0,0.9389,11.072
2/22/22,11:10:30 PM,1645600230,0,0.9446,11.072
2/22/22,11:15:30 PM,1645600530,0,0.9488,11.073
2/22/22,11:20:30 PM,1645600830,0,0.9538,11.072
2/22/22,11:25:30 PM,1645601130,0,0.9599,11.072
2/22/22,11:30:30 PM,1645601430,0,0.9638,11.072
2/22/22,11:35:30 PM,1645601730,0,0.97,11.072
2/22/22,11:40:30 PM,1645602030,0,0.9762,11.071
2/22/22,11:45:30 PM,1645602330,0,0.9846,11.072
2/22/22,11:50:30 PM,1645602630,0,0.9919,11.071
